_id,name,description,genre,developer,year
,Minecraft,A sandbox game where your imagination is the limit,Sandbox,Mojang,2009
,Call of Duty MW2,The latest installation of the Call of Duty franchise,First Person Shooter,Infinity Ward,2022
,SUPER HOT,Time moves when you move!,SUPERHOT Team,First Person Shooter,2016
,Portal,A puzzle game with an interesting twist,Puzzle,Valve Corporation,2007
,Star Wars: Battlefront 2,Play out space battles from all Star Wars movies (OG & Prequel),LucasArts,Third Person Shooter,2005
,Pokemon Scarlet,Enjoy the 9th generation of pokemon whilst exploring Paldea,Game Freak,Role Playing Game,2022
,Satisfactory,Build a factory on an alien planet,Coffee Stain Studios,Sandbox,2019
,Grand Theft Auto 5,"5th installment of the GTA series, set in Los Santos",Rockstar Games,Open Word Adventure,2013
,Hitman 3,Last installment of the Hitman trilogy,IO Interactive,Stealthgame,2021
,Pay Day 2,CO-OP crime game set in Washington DC,Overkill Software,First Person Shooter,2013
,Read Dead Redemption 2,An award winning western by the makers of the GTA series,Rockstar Games,Open World Adventure,2019
,Wolfenstein: The New Order,7th installment of the wolfenstein franchise,MachineGames,First Person Shooter,2014
,The Witcher 3: Wild Hunt,An all time epic game set in a fantasy medieval land,CD Projekt RED,Open World Adventure,2016
,We Were Here,The first installment of a co-op puzzle game series,Total Mayhem Games,Puzzle,2017
,House Flipper,"Flip houses, sell them and start the cycle again",Frozen District,Simulation game,2018
